rank_group,rank_absolute,domain,title,url,image_url,snippet,time_published,timestamp
1,6,tuoitre.vn,Ukraine mời ông Tập Cận Bình dự thượng đỉnh hòa bình,https://tuoitre.vn/ukraine-moi-ong-tap-can-binh-du-thuong-dinh-hoa-binh-20240126204703654.htm,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:0,"Ukraine cho biết đã mời Tổng bí thư, Chủ tịch nước Trung Quốc Tập Cận Bình 
tham dự hội nghị thượng đỉnh hòa bình mà nước này đã đề nghị Thụy...",35 phút trước,2024-01-26 14:21:39+00:00
43,48,thanhnien.vn,"Điểm xung đột: Houthi đến gặp Nga; ông Putin bất ngờ muốn xuống thang ở 
Ukraine?",https://thanhnien.vn/diem-xung-dot-houthi-den-gap-nga-ong-putin-bat-ngo-muon-xuong-thang-o-ukraine-185240126174226615.htm,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:42,"Trong khi phương Tây ngày càng nâng cao cảnh giác và chuẩn bị tinh thần cho 
việc xung đột Nga-Ukraine sẽ kéo dài thêm nữa, lại có một số dấu...",50 phút trước,2024-01-26 14:06:39+00:00
66,71,danviet.vn,Ukraine có thể thắng trong cuộc chiến tiêu hao sinh lực với Nga?,https://danviet.vn/ukraine-co-the-thang-trong-cuoc-chien-tieu-hao-sinh-luc-voi-nga-20240126173934492.htm,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:65,"Theo ông Dan White, mặc dù cuộc phản công mùa hè của Ukraine chỉ mang lại 
kết quả khiêm tốn, nhưng có nhiều dấu hiệu cho thấy, các lực lượng...",1 giờ trước,2024-01-26 13:56:39+00:00
48,53,vtc.vn,"Nga ồ ạt tấn công Kharkov, Ukraine đối mặt tình thế 'nghìn cân treo sợi tóc'",https://vtc.vn/nga-o-at-tan-cong-kharkov-ukraine-doi-mat-tinh-the-nghin-can-treo-soi-toc-ar850006.html,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:47,"Ukraine cho biết, Nga đã sử dụng hệ thống phòng không S-300 từ sâu trong 
lãnh thổ nước này để tấn công Kharkov, trong khi Ukraine đang thiếu...",1 giờ trước,2024-01-26 13:56:39+00:00
19,24,dantri.com.vn,Nga bác tin có thể chấp nhận để Ukraine gia nhập NATO,https://dantri.com.vn/the-gioi/nga-bac-tin-co-the-chap-nhan-de-ukraine-gia-nhap-nato-20240126194216306.htm,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:18,"(Dân trí) - Nga bác bỏ thông tin của báo Mỹ rằng Nga dường như đang gửi 
thông điệp thăm dò tới Washington về việc muốn đàm phán và có thể...",2 giờ trước,2024-01-26 12:56:39+00:00
3,8,vov.vn,"Nga ồ ạt tấn công Kharkov, Ukraine đối mặt tình thế “nghìn cân treo sợi tóc""",https://vov.vn/the-gioi/quan-sat/nga-o-at-tan-cong-kharkov-ukraine-doi-mat-tinh-the-nghin-can-treo-soi-toc-post1074025.vov,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:2,"Ukraine cho biết, Nga đã sử dụng nhiều loại vũ khí, trong đó có hệ thống 
phòng không S-300 từ sâu trong lãnh thổ nước này để tấn công...",2 giờ trước,2024-01-26 12:56:39+00:00
32,37,vietnamnet.vn,"Ukraine nêu nghi vấn vụ rơi máy bay Nga, Moscow cảnh báo phương Tây liên can",https://vietnamnet.vn/ukraine-neu-nghi-van-vu-roi-may-bay-nga-moscow-canh-bao-phuong-tay-lien-can-2244196.html,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:31,"Ukraine tuyên bố đang có trong tay các thông tình báo cho biết chỉ có 5 thi 
thể được đưa từ hiện trường rơi máy bay vận tải quân sự Nga ở...",2 giờ trước,2024-01-26 12:56:39+00:00
42,47,tienphong.vn,Hai người Nga bị bắt vì nghi làm gián điệp cho Ukraine,https://tienphong.vn/hai-nguoi-nga-bi-bat-vi-nghi-lam-gian-diep-cho-ukraine-post1608073.tpo,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:41,"Cơ quan An ninh Liên bang Nga (FSB) đã bắt giữ hai người Nga ở 
Rostov-on-Don vì bị tình nghi chuyển thông tin liên quan đến các đơn vị 
quân...",3 giờ trước,2024-01-26 11:56:39+00:00
29,34,www.24h.com.vn,"Căng thẳng Nga - Ukraine ngày 26/1: Tên lửa ""bất khả chiến bại” Kinzhal của 
Nga không hoạt động tốt như mong đợi?",https://www.24h.com.vn/tin-tuc-quoc-te/cang-thang-nga-ukraine-ngay-26-1-ten-lua-bat-kha-chien-bai-kinzhalcua-nga-khong-hoat-dong-tot-nhu-mong-doi-c415a1539244.html,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:28,"Theo ông Yurii Ihnat - người phát ngôn của Lực lượng Không quân Ukraine, có 
những dấu hiệu cho thấy tên lửa Kinzhal của Nga không hoạt động...",3 giờ trước,2024-01-26 11:56:39+00:00
23,28,dantri.com.vn,"Ukraine đẩy mạnh tập kích sâu, quyết cắt đứt huyết mạch kinh tế của Nga",https://dantri.com.vn/the-gioi/ukraine-day-manh-tap-kich-sau-quyet-cat-dut-huyet-mach-kinh-te-cua-nga-20240126091423774.htm,https://api.dataforseo.com/cdn/i/01261656-7358-0139-0000-cf452c09787d:22,"(Dân trí) - Số vụ tập kích bằng máy bay không người lái (UAV) vào các trung 
tâm dầu mỏ và nhà máy lọc dầu của Nga đã gia tăng trong những...",3 giờ trước,2024-01-26 11:56:39+00:00
